[2017-12-26 17:40:51,356] [send_email.py] [INFO] 36 开始发送邮件
[2017-12-26 17:40:55,457] [send_email.py] [INFO] 43 邮件发送成功
[2017-12-26 17:44:38,898] [controller.py] [INFO] 19 测试序列：20171226@174438
[2017-12-26 17:44:38,898] [controller.py] [INFO] 21 开始测试
[2017-12-26 17:44:38,944] [controller.py] [INFO] 23 测试结束，开始发送测试报告
[2017-12-26 17:44:38,945] [send_email.py] [INFO] 36 开始发送邮件
[2017-12-26 17:45:02,340] [send_email.py] [INFO] 43 邮件发送成功
[2017-12-26 17:47:59,094] [controller.py] [INFO] 19 测试序列：20171226@174759
[2017-12-26 17:47:59,094] [controller.py] [INFO] 21 开始测试
[2017-12-26 17:47:59,100] [controller.py] [INFO] 23 测试结束，开始发送测试报告
[2017-12-26 17:47:59,103] [send_email.py] [INFO] 36 开始发送邮件
[2017-12-26 17:48:01,901] [send_email.py] [INFO] 43 邮件发送成功
[2017-12-27 10:37:21,146] [controller.py] [INFO] 19 测试序列：20171227@103721
[2017-12-27 10:37:21,146] [controller.py] [INFO] 21 开始测试
[2017-12-27 10:37:21,160] [controller.py] [INFO] 23 测试结束，开始发送测试报告
[2017-12-27 10:37:21,162] [send_email.py] [INFO] 36 开始发送邮件
[2017-12-27 10:37:22,726] [send_email.py] [INFO] 43 邮件发送成功
